ID,Supply_Depot_Address,CountryFlag,Locality,Locality_Norm,Query_Locality,Matched_District,Match_Score,Match_Method,Fuel Zone,Magisterial code,Province,Match_Status
217,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
218,"Mossel Bay, South Africa",SA,Mossel Bay,Mossel Bay,Mossel Bay,Mossel Bay,100.0,fuzzy,01A,DV206,Western Cape,OK
219,"East London, South Africa",SA,East London,East London,East London,East London,100.0,fuzzy,01A,CH083,Eastern Cape,OK
220,"East London, South Africa",SA,East London,East London,East London,East London,100.0,fuzzy,01A,CH083,Eastern Cape,OK
221,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
222,"Klerksdorp, South Africa",SA,Klerksdorp,Klerksdorp,Klerksdorp,Klerksdorp,100.0,fuzzy,09C,RT177,North West,OK
223,"Island View Rd, Durban, 4052, South Africa",SA,Durban,Durban,Durban,Durban,100.0,fuzzy,01A,LF072,KwaZulu Natal,OK
224,"Waltloo, Pretoria, 0184, South Africa",SA,Pretoria,Pretoria,Pretoria,Pretoria,100.0,fuzzy,09C,SL277,Gauteng,OK
225,"Mbombela, South Africa",SA,Mbombela,Nelspruit,Nelspruit,Nelspruit,100.0,fuzzy,61C,SC246,Mpumalanga,OK
226,"Mbombela, South Africa",SA,Mbombela,Nelspruit,Nelspruit,Nelspruit,100.0,fuzzy,61C,SC246,Mpumalanga,OK
227,"Alrode, Alberton, 1451, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
228,"Klerksdorp, South Africa",SA,Klerksdorp,Klerksdorp,Klerksdorp,Klerksdorp,100.0,fuzzy,09C,RT177,North West,OK
229,"Alrode, Alberton, 1451, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
230,"Island View Rd, Durban, 4052, South Africa",SA,Durban,Durban,Durban,Durban,100.0,fuzzy,01A,LF072,KwaZulu Natal,OK
231,"Milnerton, Cape Town, South Africa",SA,Cape Town,Cape Town,Cape Town,Cape Town,100.0,fuzzy,01A,BV050,Western Cape,OK
232,"Alrode, Alberton, 1451, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
233,"Alrode, Alberton, 1451, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
234,"Bethlehem, South Africa",SA,Bethlehem,Bethlehem,Bethlehem,Bethlehem,100.0,fuzzy,07C,PA038,Free State,OK
235,"Mbombela, South Africa",SA,Mbombela,Nelspruit,Nelspruit,Nelspruit,100.0,fuzzy,61C,SC246,Mpumalanga,OK
236,"Potgieter St, Alrode, Alberton, 1451, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
237,"Potgieter St, Alrode, Alberton, 1451, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
238,"Potgieter St, Alrode, Alberton, 1451, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
239,"Potgieter St, Alrode, Alberton, 1451, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
240,"Potgieter St, Alrode, Alberton, 1451, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
241,"Potgieter St, Alrode, Alberton, 1451, South Africa",SA,Alberton,Alberton,Alberton,Alberton,100.0,fuzzy,09C,TM008,Gauteng,OK
